case_order,UID,area,TimeZone,job,children,age,income,gender,churn,outage_sec_perweek,email,contacts,yearly_equip_failure,techie,port_modem,tablet,phone,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,tenure,monthly_charge,bandwidth_gb_year,timely_response,timely_fixes,timely_replacements,reliability,options,respectful_response,courteous_exchange,active_listening,internet_service_Fiber Optic,contract_One year,contract_Two Year,payment_method_Credit Card (automatic),payment_method_Electronic Check,payment_method_Mailed Check
40,7e5b41b7d2ad340e17143f4066c3ab33,Suburban,America/New_York,Editorial assistant,1,0.9141820584202033,0.3734088954426154,Male,No,-0.6817873997765883,-0.6662817809861953,0.005867974104602262,1,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,-0.6990525517323531,-0.5857107032819852,-0.8522085595627125,3,4,3,6,4,4,6,2,True,False,True,False,True,False
41,bc2290835aee9167c09294399ef208c9,Urban,America/New_York,Customer service manager,3,-1.5498423887423185,-0.0565830236912344,Female,No,0.47959680307296193,-0.0052879506427475865,0.005867974104602262,0,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,-0.9585756452581669,-0.0038881119294389916,-0.9528729024515141,5,2,3,3,3,5,4,4,True,False,False,False,False,True
42,72d20b3d5284a2af94ec2f39fba29c39,Suburban,America/New_York,"Production designer, theatre/television/film",3,0.09284057603269602,0.4638661678718479,Male,No,-0.6520704693976577,1.316699710044148,1.0175876473118841,0,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,Yes,-1.1921811278961985,-1.517032853534441,-1.1438136302193977,3,3,2,3,5,4,3,3,False,False,False,False,True,False
43,f8f47993d1fa402f133393f681022a3d,Suburban,America/Chicago,Analytical chemist,4,-0.5835582918158394,-0.9859953612362096,Male,Yes,0.8555334857468215,-0.3357848658144715,0.005867974104602262,2,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,-1.1573343176802533,1.9216367069380744,-1.0373304772544547,3,3,3,5,1,4,3,4,True,False,True,True,False,False
44,cbbc7e4acd904ad82aff342295cad7a0,Suburban,America/New_York,Print production planner,4,-1.018386135432755,-0.5573453571350253,Male,No,-0.5868142024971441,0.3252089645289763,-1.0058516991026796,0,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,-0.6038404254573242,0.461841906716059,-0.6295261730645956,3,3,3,3,4,3,3,4,True,False,True,False,True,False
45,d5dce7dccb69ce4e7a244f4b9e2ec508,Rural,America/New_York,Psychiatrist,0,-1.5015281838959946,-0.8748334462945169,Female,Yes,1.0600817360325239,-1.9882694416730908,-1.0058516991026796,0,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,-0.9729992408161331,1.6303258974820913,-0.9059206478209695,4,4,4,4,3,4,3,4,True,False,True,True,False,False
46,2cf02d65e777660bee29aabf8338d7a0,Urban,America/Menominee,"Conservation officer, nature",2,-0.4386156772768675,0.519582593509311,Female,Yes,0.19545504585166065,-2.3187663568448147,0.005867974104602262,0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,-0.9132841365325185,1.6895333249747972,-0.7695693630372736,3,3,2,2,4,3,5,2,False,False,False,False,True,False
47,e0f8186edebc6ed9650b5dce5496960d,Suburban,America/Chicago,Broadcast presenter,2,-1.4532139790496708,3.27355644422271,Male,Yes,0.840090225765986,-0.3357848658144715,0.005867974104602262,0,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,-0.4639909371848937,0.2873682506601193,-0.4610389376855131,4,4,5,2,2,4,3,3,True,False,False,False,False,False
48,96b1ca7a9b1642d44b22ac0e05fc47ec,Suburban,America/Los_Angeles,Applications developer,3,-0.4869298821231915,-0.08684136360856051,Female,Yes,-0.08461701059651934,-0.3357848658144715,0.005867974104602262,0,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,-0.9492204971909545,0.5212132337151381,-0.9968953665672087,4,5,3,4,3,3,4,3,True,False,False,True,False,False
49,0792f3196f67e1c2e518931ecba4ce51,Rural,America/New_York,"Librarian, public",1,1.5905809262687387,-0.4706904137174844,Female,No,-0.7168280307738032,-0.3357848658144715,1.0175876473118841,2,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,-1.0122593134363107,-1.5756974890841853,-1.2137782923297118,3,4,3,2,3,3,3,3,False,False,True,False,False,False
50,3d5a7f23e552c62a0921e1fa051e015f,Suburban,America/Chicago,Financial adviser,2,1.4939525165760907,1.2987887499441337,Female,No,0.8178397640625723,0.6557058797007002,-1.0058516991026796,1,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,-0.8682032012376165,-1.866209270980749,-1.141491117095143,3,3,4,3,5,3,3,4,False,False,False,False,True,False
51,eba011bb46de58c6e2cea23d0097d290,Urban,America/Chicago,"Surveyor, building",2,0.43104000995696373,-1.2463268775733396,Female,Yes,-0.351050649784829,0.3252089645289763,2.0293073205191656,0,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,-1.179286103995116,0.28771763745951173,-1.0827246866446159,2,2,3,4,3,5,2,4,False,False,False,False,False,False
52,1b7ff908a8870766a8b463e23757aec4,Urban,America/New_York,"Horticulturist, amenity",5,0.7209252390349075,0.1423452410401909,Female,Yes,-0.6676454915016649,-0.0052879506427475865,0.005867974104602262,0,No,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,-1.028197013600445,0.35004344052773684,-0.987603634487446,2,3,3,5,4,2,3,2,False,False,False,True,False,False
53,4cc1941f0eddeb8b3d2d94de19b2769c,Suburban,America/Chicago,Diagnostic radiographer,1,0.28609739541799184,-0.050193323622902165,Female,No,-1.94615346356681,-1.3272756113296431,-1.0058516991026796,0,No,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,-1.0982504698011073,-0.527764868835358,-1.219561571144557,4,4,4,3,4,2,5,4,True,False,False,False,True,False
54,7b4e1744bba082cf026b16878ed94b79,Urban,America/Chicago,"Doctor, general practice",0,-1.066700340279079,0.1535781053794307,Female,Yes,0.38232753300818,-1.9882694416730908,-1.0058516991026796,0,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,-1.2470210102072885,-0.06241474400166477,-1.3451806654628662,4,4,3,4,4,4,2,3,True,True,False,True,False,False
55,d2b5848d8ef49e1b6b68415e597d46e7,Urban,America/Chicago,Insurance risk surveyor,0,-0.10041624335259981,-0.9022561750593073,Male,Yes,-0.3240932814640538,-0.3357848658144715,1.0175876473118841,0,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,-0.84890345578031,-0.2939743326467642,-0.9590338784769216,4,2,4,5,4,3,3,4,True,False,False,False,False,True
56,3fc7c0a5a88aa3796474660502fbb05f,Suburban,America/New_York,Heritage manager,1,0.2377831905716679,0.7997935313544056,Female,No,0.3071705331441532,-0.3357848658144715,0.005867974104602262,1,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,-0.7767841860936733,-0.9935207835097114,-0.7101059477125631,3,4,3,6,3,4,5,3,False,True,False,False,False,True
57,019a544457407fa24e77f7dfa224f2f7,Suburban,America/Chicago,Legal executive,1,0.9624962632665273,1.5188014645347383,Male,Yes,-0.5424376245598191,-0.3357848658144715,-1.0058516991026796,1,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,-0.9440689105057617,-1.3430982633741453,-0.9463779442668685,5,4,3,5,3,3,5,4,False,False,False,False,True,False
58,8518b3cdfe3bf58e2b262a154d64df01,Rural,America/Los_Angeles,Professor Emeritus,1,-0.970071930586431,-0.8552465934710002,Female,No,0.48621178204175647,-0.3357848658144715,-1.0058516991026796,1,No,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,-1.0511123200381538,-0.7011778356590141,-1.113956572196924,4,5,5,5,4,4,4,5,False,False,True,False,False,True
59,0091e1705b9d932e9ff7aaacac8738f6,Suburban,America/Chicago,Radio producer,1,0.2377831905716679,-0.8950199762639738,Male,Yes,0.07335295362755087,0.986202794872424,1.0175876473118841,0,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,-0.7112042140138669,1.1067043748174135,-0.6971845015002373,3,5,3,2,4,5,5,4,False,False,True,True,False,False
60,93c054f671b490bbe2c99b4c12337e92,Rural,America/New_York,Barrister's clerk,0,-0.19704465304524774,-0.37588752109525925,Female,No,-0.5297240177404023,-0.9967786961579193,0.005867974104602262,0,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,-1.0321779935297548,-1.109587460187905,-1.2427450832676,5,5,3,4,4,5,5,4,True,False,True,False,True,False
61,97f71f48649e7ee23765f054867265a4,Suburban,America/Chicago,"Engineer, automotive",1,-1.3082713645106987,0.5501108058737456,Female,No,-0.5428890813865332,-0.0052879506427475865,0.005867974104602262,0,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,-1.1971666963493675,-0.1783876640142341,-1.0549910532099382,5,5,4,4,3,4,4,4,False,True,False,False,False,True
62,5b5794d3dbb6f9fed1f9205863915cbf,Urban,America/Chicago,Recruitment consultant,1,-1.3565855693570228,1.490311657986309,Male,No,-0.14648617399405373,-0.6662817809861953,2.0293073205191656,0,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,-1.217064843981979,0.5205277108721246,-1.2299127028999968,3,4,3,2,3,4,2,4,True,False,False,False,True,False
63,4025058646046e514a7c7e4e6202226e,Rural,America/New_York,Commercial horticulturist,0,-0.5352440869695154,2.1373374105600256,Female,Yes,0.2660235696596731,0.6557058797007002,2.0293073205191656,0,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,-1.004687944054223,-0.4696984734702173,-0.9042238189449593,5,5,5,4,3,2,4,4,False,False,False,False,False,True
64,2c8f07dff8efc7ab26276074824df9c7,Rural,America/Phoenix,"Pharmacist, community",1,1.349009902037119,1.0695149066331104,Male,No,-1.3172190269579558,0.986202794872424,-1.0058516991026796,0,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,-0.8424395136518485,-1.8658884350189253,-1.0508905657906205,5,5,5,3,4,3,2,5,False,False,False,False,False,True
65,ceaf5a70e8500cb64025ddddebab1fab,Suburban,America/New_York,Forest/woodland manager,1,-0.4869298821231915,-0.17459210973512257,Female,No,1.1925275146523122,0.3252089645289763,-1.0058516991026796,0,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,-0.9413617104198202,-1.0511200024046383,-1.0565378508930574,4,4,4,3,4,4,3,3,False,False,False,False,True,False
66,1d0e697f5bc6a63125b54fd3d61bbd99,Urban,America/Los_Angeles,"Designer, graphic",2,0.4793542148032877,0.2066518378817395,Male,No,-0.17857912754908098,0.6557058797007002,0.005867974104602262,0,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,-1.0063503593212735,0.2873377436477077,-0.8336592668715122,3,4,3,3,4,4,4,3,False,False,True,False,False,False
67,306759d64ba79dfc8b2134c0c716f2bd,Suburban,America/Chicago,"Civil engineer, consulting",3,0.8175536487275554,-1.0228270988928299,Female,Yes,-1.279243299711676,-0.3357848658144715,-1.0058516991026796,1,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,-1.136647339560296,2.1546369950662405,-1.0914020361249135,3,3,2,4,4,3,3,3,True,False,False,False,False,False
68,ee5479f4dca3d8278204dd1897e44553,Urban,America/Chicago,Science writer,1,1.204067287498147,-0.6185308667137595,Male,Yes,0.2695306948551267,2.3081904555593193,0.005867974104602262,0,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,-0.897668116819726,0.8147127699409505,-0.9469736323443295,4,4,3,6,2,5,7,4,True,False,False,False,False,False
69,5c597d4d20168d90ddf8f5abf63c999d,Urban,America/Chicago,Health and safety inspector,0,-0.2453588578915717,0.45497704466656336,Male,No,-0.7049648070940966,1.6471966252158718,-1.0058516991026796,1,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,-0.8427690800818175,-0.4695393013863775,-0.7247032039911849,3,1,2,2,5,2,2,1,False,False,False,False,True,False
