case_order,UID,area,TimeZone,job,children,age,income,outage_sec_perweek,email,contacts,yearly_equip_failure,techie,port_modem,tablet,phone,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,payment_method,tenure,monthly_charge,bandwidth_gb_year,timely_response,timely_fixes,timely_replacements,reliability,options,respectful_response,courteous_exchange,active_listening,contract_One year,contract_Two Year,internet_service_Fiber Optic,gender_Male,gender_Nonbinary,churn_Yes,log_monthly_charge
11,6271cceddef89e353881b8c38b5674b1,Urban,America/New_York,"Teacher, special educational needs",7,23,22580.7,9.341631685,9,0,2,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Mailed Check,-0.5770772231059956,0.05433745551954222,-0.3036692559674181,4,4,4,7,3,3,3,4,False,False,False,False,False,False,0.052912565403885066
12,073356b840a6f10f65bebf6c9c168b3a,Rural,America/Puerto_Rico,Maintenance engineer,2,56,18342.12,6.68082638,17,1,1,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,Electronic Check,-0.9078143071046398,-0.527764868835358,-1.012157858334297,4,4,3,4,4,4,3,4,False,False,True,False,False,False,-0.7502782581895837
13,fe004e8605f165c2c59064fca86389d5,Rural,America/Chicago,"Engineer, broadcasting (operations)",0,83,83671.08,8.273875452,9,0,0,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Bank Transfer(automatic),-0.8136641324836795,-0.8193965142531648,-1.0049277035553403,1,2,1,4,3,2,3,3,False,False,True,True,False,False,-1.7114513372617297
14,2a93472e2def0e9ea2ead2f8c15c80c9,Urban,America/New_York,Learning disability nurse,5,29,115114.57,5.880565591,14,1,0,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Bank Transfer(automatic),-0.6673905557377415,0.28752742274395915,-0.6606519202176776,5,6,5,2,4,5,4,4,False,True,True,False,False,False,0.25272365254753804
15,82e2317aca04b63397b31395029f50bf,Urban,America/Chicago,Automotive engineer,1,30,64256.81,11.79073041,10,3,0,No,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,Bank Transfer(automatic),-0.9252790723682481,-0.2948056836666627,-0.8283261280844844,3,3,4,2,3,4,4,2,False,False,False,True,False,True,-0.3492818881430036
16,d43e8bc69c074903d9c618596562747e,Suburban,America/Chicago,Amenity horticulturist,3,39,89061.45,10.79846973,13,1,0,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Electronic Check,-0.7811957463028438,0.11704315239957072,-0.7103868401018525,3,3,3,2,4,3,5,2,True,False,False,True,False,True,0.11068515174870344
17,c2b766b12c3780537d74b858ae602a93,Urban,America/Los_Angeles,Applications developer,0,63,31659.3,13.52284721,13,1,0,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Bank Transfer(automatic),-0.7088806634846492,0.5202835849094483,-0.604966841184781,3,4,4,3,5,4,4,3,False,False,False,False,False,True,0.41889688647572376
18,66c10f561f108fd744c68c6c5b388c53,Rural,America/New_York,Immunologist,2,60,44142.81,9.831166695,16,3,0,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Mailed Check,-1.218636000354586,0.6999856072733608,-1.1487550410882605,2,2,4,3,3,4,3,3,False,True,False,True,False,True,0.5306197847165433
19,90c4427b652ec11afec04bd3c73c88d2,Rural,America/Chicago,"Engineer, electrical",3,61,39262.14,9.57470568,11,1,0,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Bank Transfer(automatic),-0.6586643495147995,-0.46887827730447623,-0.7135525973023463,3,4,3,4,3,2,3,5,False,True,False,False,False,False,-0.6327640510618003
20,34cb26f446dde7d77a6ecc5d7e106942,Rural,America/Chicago,Broadcast presenter,3,23,19494.75,10.92246098,10,1,0,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Yes,Credit Card (automatic),-0.8214296515667315,-0.5281706586760181,-0.6581869982279508,5,5,5,4,4,4,3,3,False,False,False,True,False,True,-0.751137923768527
21,21877fa7a1ff6e02e419246b1211b228,Rural,America/Chicago,Counsellor,4,38,39624.21,12.06889188,14,0,3,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Bank Transfer(automatic),-0.5321993969828047,0.28768908662194215,-0.48601005518490786,2,3,3,2,4,2,3,3,False,False,True,True,False,False,0.25284920616806467
22,994c0d689a45958a51dde0312f52258b,Suburban,America/New_York,Geophysical data processor,3,30,45714.47,6.984819996,18,1,0,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Bank Transfer(automatic),-1.2143752859646828,-1.0509561028982644,-1.280548499448172,5,5,4,4,3,4,3,5,False,True,True,True,False,False,
23,3bc3a28af4d353a18ab1173dabdc6496,Urban,America/Chicago,"Designer, multimedia",3,52,27442.03,9.372975594,16,1,1,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Electronic Check,-1.054162420093918,-1.1099082961497284,-1.2261101571312558,3,3,3,2,2,3,5,5,False,False,True,True,False,False,
24,adab17955634cf8ec0cd47d8d89c352c,Urban,America/New_York,Event organiser,2,68,79699.62,7.109002592,9,0,0,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,Yes,Electronic Check,-0.9826308773775781,-0.5280857047971815,-1.1197956245812268,4,4,3,5,3,4,4,3,True,False,True,True,False,False,-0.7509578878439856
25,c741e189e7837dca1ae8e031402b447d,Rural,America/New_York,Equality and diversity officer,3,75,28520.32,13.74777955,15,1,0,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Credit Card (automatic),-1.0875153205165573,-0.2355068748634973,-1.1539420665647315,3,3,4,2,4,4,3,4,False,False,False,False,False,True,-0.26854224628065776
26,6cab409a353f4b1e618308bb6383f4ae,Suburban,America/New_York,Counsellor,1,77,12558.83,9.767668044,12,1,0,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Bank Transfer(automatic),-1.1485071989623208,-1.866975020280065,-1.1980894716016361,4,4,4,4,2,4,5,5,False,False,False,True,False,True,
27,f7184e21cba24f672130af4181ace3fc,Rural,America/Denver,Psychiatrist,1,47,8762.23,15.8626095,15,0,1,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Mailed Check,-0.9122140515257888,1.164975772648398,-0.8630365474292174,5,3,5,3,3,5,4,4,False,False,True,False,False,True,0.7724091709292058
28,8f35529b5d78c0c900635ceebf6b84cb,Urban,America/Detroit,"Surveyor, commercial/residential",0,70,43882.72,14.73616645,12,0,0,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Electronic Check,-1.25308568712767,-0.7601890867604595,-1.360658197363495,2,2,3,4,4,2,2,2,False,False,False,False,False,True,-1.427904527668045
29,1e083de4b0dfeed53263515c8b8b26eb,Urban,America/New_York,Civil Service administrator,3,20,10482.52,13.43558029,13,2,0,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,No,Bank Transfer(automatic),-1.2516498984328337,0.640588500684404,-0.9760846270524461,3,4,3,3,2,4,4,2,True,False,False,False,False,True,0.4950550193484917
30,82bbe8f8a091353aad86806f5fabc658,Suburban,America/New_York,"Radiographer, diagnostic",4,69,33442.79,10.61771118,18,1,0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Credit Card (automatic),-1.100544923191214,1.9800783851314638,-0.7538103880389817,4,4,4,3,2,5,5,4,False,True,False,True,False,True,1.0919496039067664
31,2024dab5fff54350716edea719cb3a9b,Urban,America/New_York,Air traffic controller,9,45,43383.54,6.613070806,14,0,0,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Credit Card (automatic),-0.8866023841903011,1.3385895268468702,-0.7307735469823262,3,2,1,5,3,3,3,2,False,True,True,True,False,False,0.8495479813282112
32,e82cf64d7a0e5a2f0ef56b6dc68b08bb,Rural,America/New_York,Dietitian,0,40,21793.88,4.450171647,13,2,0,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Electronic Check,-1.1701197658139526,-0.5853507438233292,-1.327056348209172,2,3,4,3,3,2,4,3,False,True,False,False,False,False,-0.8803222819447973
33,f1641e36607077033891129802343682,Rural,America/Los_Angeles,"Therapist, occupational",6,82,51960.51,8.774646693,9,0,0,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Electronic Check,-1.1269605980785402,1.3385895268468702,-1.0883965188612057,4,4,4,5,2,5,3,5,False,False,True,False,False,True,0.8495479813282112
34,5377bc298c0d723478837a5d98bc738b,Rural,America/Detroit,Building services engineer,5,74,25942.1,11.13156721,8,1,1,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Electronic Check,-0.515357688285214,0.05433745551954222,-0.325637960287283,5,5,4,3,5,3,4,1,False,False,False,True,False,True,0.052912565403885066
35,6db59b17dc83e5b8af6d312100ea2965,Urban,America/Chicago,Information officer,4,69,11211.59,5.540788887,15,1,0,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Mailed Check,-1.1744634661179154,2.2132683523558807,-1.0573597060308366,6,5,5,5,2,6,5,5,True,False,True,True,False,True,1.1672885974539835
36,d8fc79b5e3193a0dd891a4b6afac838d,Suburban,America/Detroit,Outdoor activities/education manager,1,52,8283.29,13.80362698,11,0,1,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Mailed Check,-1.098550980314668,-0.2361743263770214,-0.9987162631662837,4,2,3,4,3,3,4,3,False,False,False,True,False,True,-0.26941569173784835
37,f57314d251b601e0b1f18a432612c3ff,Suburban,America/New_York,Market researcher,2,26,10114.81,16.31017089,16,1,1,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Credit Card (automatic),-1.1804516554861881,1.3359816663294255,-1.1416648784921675,4,3,5,5,2,4,5,5,False,False,True,False,False,True,0.8484322166172995
38,cdcabd9f398e96aa39936f87adde7dc0,Urban,America/New_York,"Surveyor, insurance",1,25,36229.21,9.447065309,9,2,0,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Electronic Check,-1.0349026237845231,-0.7597302473211176,-0.9387813135210594,5,6,4,2,5,3,3,3,True,False,False,False,False,False,-1.425993017325608
39,7d59e47c0a72bb47918543996d0990ba,Suburban,America/New_York,Office manager,1,66,25397.44,16.84100845,12,1,0,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Credit Card (automatic),-0.9333207387803955,0.2873682506601193,-1.0426335806062994,4,4,3,4,2,4,4,5,False,True,True,False,False,False,0.2526000187353517
40,7e5b41b7d2ad340e17143f4066c3ab33,Suburban,America/New_York,Editorial assistant,1,72,50336.5,7.972937227,10,1,1,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,Electronic Check,-0.6990525517323531,-0.5857107032819852,-0.8522085595627125,3,4,3,6,4,4,6,2,False,True,True,True,False,False,-0.8811907648498916
41,bc2290835aee9167c09294399ef208c9,Urban,America/New_York,Customer service manager,3,21,38211.37,11.42906608,12,1,0,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Mailed Check,-0.9585756452581669,-0.0038881119294389916,-0.9528729024515141,5,2,3,3,3,5,4,4,False,False,True,False,False,False,-0.0038956902866723203
42,72d20b3d5284a2af94ec2f39fba29c39,Suburban,America/New_York,"Production designer, theatre/television/film",3,55,52887.26,8.06137096,16,2,0,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,Yes,Electronic Check,-1.1921811278961985,-1.517032853534441,-1.1438136302193977,3,3,2,3,5,4,3,3,False,False,False,True,False,False,
43,f8f47993d1fa402f133393f681022a3d,Suburban,America/Chicago,Analytical chemist,4,41,12003.33,12.54780492,11,1,2,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Credit Card (automatic),-1.1573343176802533,1.9216367069380744,-1.0373304772544547,3,3,3,5,1,4,3,4,False,True,True,True,False,True,1.0721439753244144
44,cbbc7e4acd904ad82aff342295cad7a0,Suburban,America/New_York,Print production planner,4,32,24090.62,8.255565152,13,0,0,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Electronic Check,-0.6038404254573242,0.461841906716059,-0.6295261730645956,3,3,3,3,4,3,3,4,False,True,True,True,False,False,0.3796972205394464
45,d5dce7dccb69ce4e7a244f4b9e2ec508,Rural,America/New_York,Psychiatrist,0,22,15137.93,13.156514,6,0,0,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Credit Card (automatic),-0.9729992408161331,1.6303258974820913,-0.9059206478209695,4,4,4,4,3,4,3,4,False,True,True,False,False,True,0.9671077539052253
46,2cf02d65e777660bee29aabf8338d7a0,Urban,America/Menominee,"Conservation officer, nature",2,44,54458.38,10.58349704,5,1,0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Electronic Check,-0.9132841365325185,1.6895333249747972,-0.7695693630372736,3,3,2,2,4,3,5,2,False,False,False,False,False,True,0.9893676934239797
47,e0f8186edebc6ed9650b5dce5496960d,Suburban,America/Chicago,Broadcast presenter,2,23,132116.33,12.50184778,11,1,0,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Bank Transfer(automatic),-0.4639909371848937,0.2873682506601193,-0.4610389376855131,4,4,5,2,2,4,3,3,False,False,True,True,False,True,0.2526000187353517
48,96b1ca7a9b1642d44b22ac0e05fc47ec,Suburban,America/Los_Angeles,Applications developer,3,43,37358.13,9.750038902,11,1,0,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Credit Card (automatic),-0.9492204971909545,0.5212132337151381,-0.9968953665672087,4,5,3,4,3,3,4,3,False,False,True,False,False,True,0.4195081965576202
49,0792f3196f67e1c2e518931ecba4ce51,Rural,America/New_York,"Librarian, public",1,86,26534.16,7.868660851,11,2,2,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Bank Transfer(automatic),-1.0122593134363107,-1.5756974890841853,-1.2137782923297118,3,4,3,2,3,3,3,3,False,True,False,False,False,False,
50,3d5a7f23e552c62a0921e1fa051e015f,Suburban,America/Chicago,Financial adviser,2,84,76430.83,12.43563329,14,0,1,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Electronic Check,-0.8682032012376165,-1.866209270980749,-1.141491117095143,3,3,4,3,5,3,3,4,False,False,False,False,False,False,
51,eba011bb46de58c6e2cea23d0097d290,Urban,America/Chicago,"Surveyor, building",2,62,4662.37,8.957166926,13,3,0,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Bank Transfer(automatic),-1.179286103995116,0.28771763745951173,-1.0827246866446159,2,2,3,4,3,5,2,4,False,False,False,False,False,True,0.2528713780738097
52,1b7ff908a8870766a8b463e23757aec4,Urban,America/New_York,"Horticulturist, amenity",5,68,43820.85,8.015021713,12,1,0,No,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Credit Card (automatic),-1.028197013600445,0.35004344052773684,-0.987603634487446,2,3,3,5,4,2,3,2,False,False,False,False,False,True,0.3001367701013259
53,4cc1941f0eddeb8b3d2d94de19b2769c,Suburban,America/Chicago,Diagnostic radiographer,1,59,38391.55,4.210347704,8,0,0,No,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,Electronic Check,-1.0982504698011073,-0.527764868835358,-1.219561571144557,4,4,4,3,4,2,5,4,False,False,True,False,False,False,-0.7502782581895837
54,7b4e1744bba082cf026b16878ed94b79,Urban,America/Chicago,"Doctor, general practice",0,31,44137.6,11.13960534,6,0,0,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,Credit Card (automatic),-1.2470210102072885,-0.06241474400166477,-1.3451806654628662,4,4,3,4,4,4,2,3,True,False,True,False,False,True,-0.0644475855407803
55,d2b5848d8ef49e1b6b68415e597d46e7,Urban,America/Chicago,Insurance risk surveyor,0,51,14364.65,9.03738856,11,2,0,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Mailed Check,-0.84890345578031,-0.2939743326467642,-0.9590338784769216,4,2,4,5,4,3,3,4,False,False,True,True,False,True,-0.3481036861253459
56,3fc7c0a5a88aa3796474660502fbb05f,Suburban,America/New_York,Heritage manager,1,58,62359.91,10.91594785,11,1,1,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,Mailed Check,-0.7767841860936733,-0.9935207835097114,-0.7101059477125631,3,4,3,6,3,4,5,3,True,False,False,False,False,False,-5.039155687920898
57,019a544457407fa24e77f7dfa224f2f7,Suburban,America/Chicago,Legal executive,1,73,82634.86,8.387624096,11,0,1,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,Electronic Check,-0.9440689105057617,-1.3430982633741453,-0.9463779442668685,5,4,3,5,3,3,5,4,False,False,False,True,False,True,
58,8518b3cdfe3bf58e2b262a154d64df01,Rural,America/Los_Angeles,Professor Emeritus,1,33,15690.25,11.4487514,11,0,1,No,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Mailed Check,-1.0511123200381538,-0.7011778356590141,-1.113956572196924,4,5,5,5,4,4,4,5,False,True,False,False,False,False,-1.2079066506265037
59,0091e1705b9d932e9ff7aaacac8738f6,Suburban,America/Chicago,Radio producer,1,58,14568.7,10.22013704,15,2,0,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Credit Card (automatic),-0.7112042140138669,1.1067043748174135,-0.6971845015002373,3,5,3,2,4,5,5,4,False,True,False,True,False,True,0.745124818769109
60,93c054f671b490bbe2c99b4c12337e92,Rural,America/New_York,Barrister's clerk,0,49,29207.46,8.425458142,9,1,0,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Electronic Check,-1.0321779935297548,-1.109587460187905,-1.2427450832676,5,5,3,4,4,5,5,4,False,True,True,False,False,False,
61,97f71f48649e7ee23765f054867265a4,Suburban,America/Chicago,"Engineer, automotive",1,26,55319.23,8.386280619,12,1,0,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Mailed Check,-1.1971666963493675,-0.1783876640142341,-1.0549910532099382,5,5,4,4,3,4,4,4,True,False,False,False,False,False,-0.1964866058921837
62,5b5794d3dbb6f9fed1f9205863915cbf,Urban,America/Chicago,Recruitment consultant,1,25,81831.49,9.565924291,10,3,0,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Electronic Check,-1.217064843981979,0.5205277108721246,-1.2299127028999968,3,4,3,2,3,4,2,4,False,False,True,True,False,False,0.41905745281112217
63,4025058646046e514a7c7e4e6202226e,Rural,America/New_York,Commercial horticulturist,0,42,100076.65,10.79349982,14,3,0,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Mailed Check,-1.004687944054223,-0.4696984734702173,-0.9042238189449593,5,5,5,4,3,2,4,4,False,False,False,False,False,True,-0.6343095162277279
64,2c8f07dff8efc7ab26276074824df9c7,Rural,America/Phoenix,"Pharmacist, community",1,81,69965.65,6.081975067,15,0,0,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Mailed Check,-0.8424395136518485,-1.8658884350189253,-1.0508905657906205,5,5,5,3,4,3,2,5,False,False,False,True,False,False,
65,ceaf5a70e8500cb64025ddddebab1fab,Suburban,America/New_York,Forest/woodland manager,1,43,34883.69,13.55065547,13,0,0,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Electronic Check,-0.9413617104198202,-1.0511200024046383,-1.0565378508930574,4,4,4,3,4,4,3,3,False,False,False,False,False,False,
66,1d0e697f5bc6a63125b54fd3d61bbd99,Urban,America/Los_Angeles,"Designer, graphic",2,63,45634.2,9.470419821,14,1,0,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Bank Transfer(automatic),-1.0063503593212735,0.2873377436477077,-0.8336592668715122,3,4,3,3,4,4,4,3,False,True,False,True,False,False,0.25257632126272334
67,306759d64ba79dfc8b2134c0c716f2bd,Suburban,America/Chicago,"Civil engineer, consulting",3,70,10964.73,6.194985909,11,0,1,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Bank Transfer(automatic),-1.136647339560296,2.1546369950662405,-1.0914020361249135,3,3,2,4,4,3,3,3,False,False,True,False,False,True,1.148873432342306
68,ee5479f4dca3d8278204dd1897e44553,Urban,America/Chicago,Science writer,1,78,22365.28,10.80393657,19,1,0,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,Bank Transfer(automatic),-0.897668116819726,0.8147127699409505,-0.9469736323443295,4,4,3,6,2,5,7,4,False,False,True,True,False,True,0.5959272017173511
69,5c597d4d20168d90ddf8f5abf63c999d,Urban,America/Chicago,Health and safety inspector,0,48,52636.6,7.903964267,17,0,1,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Electronic Check,-0.8427690800818175,-0.4695393013863775,-0.7247032039911849,3,1,2,2,5,2,2,1,False,False,False,True,False,False,-0.6340094073413789
70,46bd163d500568caa0e2de057b8ef4e3,Suburban,America/Denver,"Administrator, Civil Service",1,63,19048.13,11.27443693,18,2,1,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Credit Card (automatic),-1.222397924809372,0.640588500684404,-1.0397744216209008,4,4,4,5,4,4,4,3,False,False,False,False,False,True,0.4950550193484917
71,fffe3f210b76a8d6e7a1ec383b766260,Urban,America/Los_Angeles,Technical sales engineer,4,60,42784.82,6.129509309,12,0,0,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Electronic Check,-0.40106534597502425,0.9322307187614737,-0.32745582419199754,5,5,6,5,3,7,5,5,True,False,False,False,False,True,0.6586751483091636
72,f858b8ce89fb8cf960dabc54d3561c12,Rural,America/New_York,Special educational needs teacher,0,87,77996.88,7.969277912,17,0,0,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Bank Transfer(automatic),-1.1646362483309787,1.9211261918800002,-0.9721163526597876,3,3,4,5,4,3,5,4,True,False,False,True,False,True,1.0719692240746326
73,8969d2ad6edcb6f6b3c03903bbf6f842,Suburban,America/New_York,Outdoor activities/education manager,3,54,47507.3,4.368120492,9,0,0,No,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,Bank Transfer(automatic),-1.0039495234861058,-0.877342348699792,-1.175947892399839,2,3,3,3,5,2,2,3,False,True,True,False,False,False,-2.0983581270174545
74,fea9671289fa6d8794f72bf3c1b3e55b,Urban,America/Denver,"Civil engineer, consulting",3,35,7724.73,6.258356398,9,0,1,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Electronic Check,-0.9581887685311218,1.9215319817206598,-0.8303303660906955,4,3,2,3,3,3,3,4,False,False,True,True,False,True,1.0721081299730286
75,b412a5cf1e6e60c5f8b9b3fac56083dd,Urban,America/Los_Angeles,Maintenance engineer,1,70,1509.52,12.92303286,16,0,0,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Bank Transfer(automatic),-1.215788277635197,0.9860394995838015,-1.2555429575499903,4,4,4,5,2,3,4,4,False,False,True,True,False,True,0.6861424544402028
76,2ffb137d5a923efa638cda02537eb25a,Rural,America/Los_Angeles,Sports therapist,2,67,81124.71,12.43301273,13,0,0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Electronic Check,-1.1002128472441375,2.271389194587447,-0.7982108653567063,3,3,4,3,5,3,3,4,True,False,False,False,False,True,1.1852147248434504
77,9c7d828228996c8d9400cd17a3c355f5,Rural,America/New_York,"Engineer, communications",4,46,11795.57,7.607663559,11,0,0,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Electronic Check,-1.2644336683865323,0.6413542499837201,-1.200929620485428,1,1,2,2,3,1,3,2,False,True,False,False,False,True,0.495521663267284
